GrandPrix,LapNumber,Compound,TyreLife,TrackTemp,LapTime_Seconds
Bahrain,47.0,HARD,13.0,23.652866242038222,95.057
Bahrain,48.0,HARD,14.0,23.652866242038222,95.308
Bahrain,49.0,HARD,15.0,23.652866242038222,95.302
Bahrain,50.0,HARD,16.0,23.652866242038222,95.383
Bahrain,51.0,HARD,17.0,23.652866242038222,95.418
Bahrain,52.0,HARD,18.0,23.652866242038222,95.394
Bahrain,53.0,HARD,19.0,23.652866242038222,95.48
Bahrain,54.0,HARD,20.0,23.652866242038222,95.265
Bahrain,55.0,HARD,21.0,23.652866242038222,95.785
Bahrain,56.0,HARD,22.0,23.652866242038222,95.924
Bahrain,57.0,HARD,23.0,23.652866242038222,96.324
Bahrain,2.0,SOFT,5.0,23.652866242038222,96.635
Bahrain,3.0,SOFT,6.0,23.652866242038222,96.406
Bahrain,4.0,SOFT,7.0,23.652866242038222,97.738
Bahrain,5.0,SOFT,8.0,23.652866242038222,98.116
Bahrain,6.0,SOFT,9.0,23.652866242038222,97.784
Bahrain,7.0,SOFT,10.0,23.652866242038222,98.082
Bahrain,8.0,SOFT,11.0,23.652866242038222,97.862
Bahrain,9.0,SOFT,12.0,23.652866242038222,97.73
Bahrain,11.0,SOFT,14.0,23.652866242038222,100.515
Bahrain,12.0,HARD,1.0,23.652866242038222,118.46
Bahrain,13.0,HARD,2.0,23.652866242038222,97.167
Bahrain,14.0,HARD,3.0,23.652866242038222,97.571
Bahrain,15.0,HARD,4.0,23.652866242038222,96.922
Bahrain,16.0,HARD,5.0,23.652866242038222,96.683
Bahrain,17.0,HARD,6.0,23.652866242038222,96.234
Bahrain,18.0,HARD,7.0,23.652866242038222,97.819
Bahrain,19.0,HARD,8.0,23.652866242038222,97.233
Bahrain,20.0,HARD,9.0,23.652866242038222,96.732
Bahrain,21.0,HARD,10.0,23.652866242038222,96.769
Bahrain,22.0,HARD,11.0,23.652866242038222,96.992
Bahrain,23.0,HARD,12.0,23.652866242038222,96.954
Bahrain,24.0,HARD,13.0,23.652866242038222,96.736
Bahrain,25.0,HARD,14.0,23.652866242038222,96.928
Bahrain,26.0,HARD,15.0,23.652866242038222,96.801
Bahrain,27.0,HARD,16.0,23.652866242038222,96.815
Bahrain,28.0,HARD,17.0,23.652866242038222,96.911
Bahrain,29.0,HARD,18.0,23.652866242038222,97.066
Bahrain,30.0,HARD,19.0,23.652866242038222,97.186
Bahrain,31.0,HARD,20.0,23.652866242038222,99.405
Bahrain,32.0,HARD,1.0,23.652866242038222,117.267
Bahrain,33.0,HARD,2.0,23.652866242038222,95.838
Bahrain,34.0,HARD,3.0,23.652866242038222,95.241
Bahrain,35.0,HARD,4.0,23.652866242038222,95.772
Bahrain,36.0,HARD,5.0,23.652866242038222,95.434
Bahrain,37.0,HARD,6.0,23.652866242038222,95.481
Bahrain,38.0,HARD,7.0,23.652866242038222,95.479
Bahrain,39.0,HARD,8.0,23.652866242038222,95.204
Bahrain,40.0,HARD,9.0,23.652866242038222,95.065
Bahrain,41.0,HARD,10.0,23.652866242038222,95.093
Bahrain,42.0,HARD,11.0,23.652866242038222,95.136
Bahrain,43.0,HARD,12.0,23.652866242038222,95.193
Bahrain,44.0,HARD,13.0,23.652866242038222,95.162
Bahrain,45.0,HARD,14.0,23.652866242038222,95.276
Bahrain,46.0,HARD,15.0,23.652866242038222,96.657
Bahrain,47.0,HARD,16.0,23.652866242038222,95.805
Bahrain,48.0,HARD,17.0,23.652866242038222,96.059
Bahrain,49.0,HARD,18.0,23.652866242038222,95.954
Bahrain,50.0,HARD,19.0,23.652866242038222,96.181
Bahrain,51.0,HARD,20.0,23.652866242038222,95.852
Bahrain,52.0,HARD,21.0,23.652866242038222,96.186
Bahrain,53.0,HARD,22.0,23.652866242038222,95.979
Bahrain,54.0,HARD,23.0,23.652866242038222,96.013
Bahrain,55.0,HARD,24.0,23.652866242038222,96.151
Bahrain,56.0,HARD,25.0,23.652866242038222,96.35
Bahrain,57.0,HARD,26.0,23.652866242038222,96.44
Bahrain,2.0,SOFT,5.0,23.652866242038222,98.01
Bahrain,3.0,SOFT,6.0,23.652866242038222,97.787
Bahrain,4.0,SOFT,7.0,23.652866242038222,97.45
Bahrain,5.0,SOFT,8.0,23.652866242038222,97.794
Bahrain,6.0,SOFT,9.0,23.652866242038222,97.896
Bahrain,7.0,SOFT,10.0,23.652866242038222,97.86
Bahrain,8.0,SOFT,11.0,23.652866242038222,98.134
Bahrain,9.0,SOFT,12.0,23.652866242038222,98.064
Bahrain,11.0,SOFT,14.0,23.652866242038222,98.172
Bahrain,12.0,SOFT,15.0,23.652866242038222,98.082
Bahrain,13.0,SOFT,16.0,23.652866242038222,100.635
Bahrain,14.0,HARD,1.0,23.652866242038222,117.77
Bahrain,15.0,HARD,2.0,23.652866242038222,96.912
Bahrain,16.0,HARD,3.0,23.652866242038222,96.565
Bahrain,17.0,HARD,4.0,23.652866242038222,96.776
Bahrain,18.0,HARD,5.0,23.652866242038222,96.508
Bahrain,19.0,HARD,6.0,23.652866242038222,96.416
Bahrain,20.0,HARD,7.0,23.652866242038222,96.501
Bahrain,21.0,HARD,8.0,23.652866242038222,96.62
Bahrain,22.0,HARD,9.0,23.652866242038222,96.668
Bahrain,23.0,HARD,10.0,23.652866242038222,96.696
Bahrain,24.0,HARD,11.0,23.652866242038222,96.823
Bahrain,25.0,HARD,12.0,23.652866242038222,96.73
Bahrain,26.0,HARD,13.0,23.652866242038222,96.566
Bahrain,27.0,HARD,14.0,23.652866242038222,96.726
Bahrain,28.0,HARD,15.0,23.652866242038222,97.018
Bahrain,29.0,HARD,16.0,23.652866242038222,97.041
Bahrain,30.0,HARD,17.0,23.652866242038222,96.986
Bahrain,31.0,HARD,18.0,23.652866242038222,97.083
Bahrain,32.0,HARD,19.0,23.652866242038222,97.171
Bahrain,33.0,HARD,20.0,23.652866242038222,99.626
Bahrain,34.0,HARD,1.0,23.652866242038222,116.898
Bahrain,35.0,HARD,2.0,23.652866242038222,94.476
Bahrain,36.0,HARD,3.0,23.652866242038222,95.69
Bahrain,37.0,HARD,4.0,23.652866242038222,95.067
Bahrain,38.0,HARD,5.0,23.652866242038222,95.149
Bahrain,39.0,HARD,6.0,23.652866242038222,94.88
Bahrain,40.0,HARD,7.0,23.652866242038222,95.276
Bahrain,41.0,HARD,8.0,23.652866242038222,95.069
Bahrain,42.0,HARD,9.0,23.652866242038222,95.165
Bahrain,43.0,HARD,10.0,23.652866242038222,95.295
Bahrain,44.0,HARD,11.0,23.652866242038222,95.346
Bahrain,45.0,HARD,12.0,23.652866242038222,95.338
Bahrain,46.0,HARD,13.0,23.652866242038222,95.371
Bahrain,47.0,HARD,14.0,23.652866242038222,95.485
Bahrain,48.0,HARD,15.0,23.652866242038222,95.717
Bahrain,49.0,HARD,16.0,23.652866242038222,95.674
Bahrain,50.0,HARD,17.0,23.652866242038222,95.657
Bahrain,51.0,HARD,18.0,23.652866242038222,96.038
Bahrain,52.0,HARD,19.0,23.652866242038222,95.922
Bahrain,53.0,HARD,20.0,23.652866242038222,95.782
Bahrain,54.0,HARD,21.0,23.652866242038222,95.934
Bahrain,55.0,HARD,22.0,23.652866242038222,96.223
Bahrain,56.0,HARD,23.0,23.652866242038222,95.976
Bahrain,57.0,HARD,24.0,23.652866242038222,96.582
Bahrain,2.0,SOFT,5.0,23.652866242038222,98.273
Bahrain,3.0,SOFT,6.0,23.652866242038222,98.303
Bahrain,4.0,SOFT,7.0,23.652866242038222,98.287
Bahrain,5.0,SOFT,8.0,23.652866242038222,98.35
Bahrain,6.0,SOFT,9.0,23.652866242038222,98.183
Bahrain,7.0,SOFT,10.0,23.652866242038222,97.839
Bahrain,8.0,SOFT,11.0,23.652866242038222,98.221
Bahrain,9.0,SOFT,12.0,23.652866242038222,98.645
Bahrain,11.0,SOFT,14.0,23.652866242038222,98.236
Bahrain,12.0,SOFT,15.0,23.652866242038222,100.889
Bahrain,13.0,HARD,1.0,23.652866242038222,118.645
Bahrain,14.0,HARD,2.0,23.652866242038222,97.178
Bahrain,15.0,HARD,3.0,23.652866242038222,97.264
Bahrain,16.0,HARD,4.0,23.652866242038222,97.091
Bahrain,17.0,HARD,5.0,23.652866242038222,97.111
Bahrain,18.0,HARD,6.0,23.652866242038222,96.85
Bahrain,19.0,HARD,7.0,23.652866242038222,96.694
Bahrain,20.0,HARD,8.0,23.652866242038222,96.264
Bahrain,21.0,HARD,9.0,23.652866242038222,96.51
Bahrain,22.0,HARD,10.0,23.652866242038222,96.633
Bahrain,23.0,HARD,11.0,23.652866242038222,96.717
Bahrain,24.0,HARD,12.0,23.652866242038222,96.666
Bahrain,25.0,HARD,13.0,23.652866242038222,96.919
