GrandPrix,Driver,LapNumber,Compound,TyreLife,TrackTemp,LapTime_Seconds
Bahrain,SAI,40.0,HARD,5.0,23.652866242038222,94.739
Bahrain,SAI,41.0,HARD,6.0,23.652866242038222,95.041
Bahrain,SAI,42.0,HARD,7.0,23.652866242038222,94.861
Bahrain,SAI,43.0,HARD,8.0,23.652866242038222,94.795
Bahrain,SAI,44.0,HARD,9.0,23.652866242038222,94.507
Bahrain,SAI,45.0,HARD,10.0,23.652866242038222,94.79
Bahrain,SAI,46.0,HARD,11.0,23.652866242038222,94.853
Bahrain,SAI,47.0,HARD,12.0,23.652866242038222,94.901
Bahrain,SAI,48.0,HARD,13.0,23.652866242038222,94.981
Bahrain,SAI,49.0,HARD,14.0,23.652866242038222,95.44
Bahrain,SAI,50.0,HARD,15.0,23.652866242038222,95.142
Bahrain,SAI,51.0,HARD,16.0,23.652866242038222,95.282
Bahrain,SAI,52.0,HARD,17.0,23.652866242038222,95.083
Bahrain,SAI,53.0,HARD,18.0,23.652866242038222,95.211
Bahrain,SAI,54.0,HARD,19.0,23.652866242038222,95.309
Bahrain,SAI,55.0,HARD,20.0,23.652866242038222,95.407
Bahrain,SAI,56.0,HARD,21.0,23.652866242038222,95.305
Bahrain,SAI,57.0,HARD,22.0,23.652866242038222,95.327
Bahrain,LEC,2.0,SOFT,5.0,23.652866242038222,96.862
Bahrain,LEC,3.0,SOFT,6.0,23.652866242038222,98.062
Bahrain,LEC,4.0,SOFT,7.0,23.652866242038222,97.752
Bahrain,LEC,5.0,SOFT,8.0,23.652866242038222,98.131
Bahrain,LEC,6.0,SOFT,9.0,23.652866242038222,97.782
Bahrain,LEC,7.0,SOFT,10.0,23.652866242038222,98.957
Bahrain,LEC,8.0,SOFT,11.0,23.652866242038222,98.136
Bahrain,LEC,9.0,SOFT,12.0,23.652866242038222,97.844
Bahrain,LEC,11.0,SOFT,14.0,23.652866242038222,101.737
Bahrain,LEC,12.0,HARD,1.0,23.652866242038222,117.471
Bahrain,LEC,13.0,HARD,2.0,23.652866242038222,96.432
Bahrain,LEC,14.0,HARD,3.0,23.652866242038222,96.756
Bahrain,LEC,15.0,HARD,4.0,23.652866242038222,96.813
Bahrain,LEC,16.0,HARD,5.0,23.652866242038222,96.673
Bahrain,LEC,17.0,HARD,6.0,23.652866242038222,97.302
Bahrain,LEC,18.0,HARD,7.0,23.652866242038222,97.438
Bahrain,LEC,19.0,HARD,8.0,23.652866242038222,96.821
Bahrain,LEC,20.0,HARD,9.0,23.652866242038222,96.794
Bahrain,LEC,21.0,HARD,10.0,23.652866242038222,96.977
Bahrain,LEC,22.0,HARD,11.0,23.652866242038222,96.796
Bahrain,LEC,23.0,HARD,12.0,23.652866242038222,96.987
Bahrain,LEC,24.0,HARD,13.0,23.652866242038222,96.924
Bahrain,LEC,25.0,HARD,14.0,23.652866242038222,96.76
Bahrain,LEC,26.0,HARD,15.0,23.652866242038222,96.81
Bahrain,LEC,27.0,HARD,16.0,23.652866242038222,96.831
Bahrain,LEC,28.0,HARD,17.0,23.652866242038222,96.907
Bahrain,LEC,29.0,HARD,18.0,23.652866242038222,96.963
Bahrain,LEC,30.0,HARD,19.0,23.652866242038222,97.158
Bahrain,LEC,31.0,HARD,20.0,23.652866242038222,97.031
Bahrain,LEC,32.0,HARD,21.0,23.652866242038222,96.941
Bahrain,LEC,33.0,HARD,22.0,23.652866242038222,96.741
Bahrain,LEC,34.0,HARD,23.0,23.652866242038222,99.614
Bahrain,LEC,35.0,HARD,1.0,23.652866242038222,116.166
Bahrain,LEC,36.0,HARD,2.0,23.652866242038222,94.09
Bahrain,LEC,37.0,HARD,3.0,23.652866242038222,94.897
Bahrain,LEC,38.0,HARD,4.0,23.652866242038222,94.783
Bahrain,LEC,39.0,HARD,5.0,23.652866242038222,95.087
Bahrain,LEC,40.0,HARD,6.0,23.652866242038222,94.859
Bahrain,LEC,41.0,HARD,7.0,23.652866242038222,95.028
Bahrain,LEC,42.0,HARD,8.0,23.652866242038222,94.982
Bahrain,LEC,43.0,HARD,9.0,23.652866242038222,95.192
Bahrain,LEC,44.0,HARD,10.0,23.652866242038222,95.051
Bahrain,LEC,45.0,HARD,11.0,23.652866242038222,95.22
Bahrain,LEC,46.0,HARD,12.0,23.652866242038222,95.058
Bahrain,LEC,47.0,HARD,13.0,23.652866242038222,95.057
Bahrain,LEC,48.0,HARD,14.0,23.652866242038222,95.308
Bahrain,LEC,49.0,HARD,15.0,23.652866242038222,95.302
Bahrain,LEC,50.0,HARD,16.0,23.652866242038222,95.383
Bahrain,LEC,51.0,HARD,17.0,23.652866242038222,95.418
Bahrain,LEC,52.0,HARD,18.0,23.652866242038222,95.394
Bahrain,LEC,53.0,HARD,19.0,23.652866242038222,95.48
Bahrain,LEC,54.0,HARD,20.0,23.652866242038222,95.265
Bahrain,LEC,55.0,HARD,21.0,23.652866242038222,95.785
Bahrain,LEC,56.0,HARD,22.0,23.652866242038222,95.924
Bahrain,LEC,57.0,HARD,23.0,23.652866242038222,96.324
Bahrain,RUS,2.0,SOFT,5.0,23.652866242038222,96.635
Bahrain,RUS,3.0,SOFT,6.0,23.652866242038222,96.406
Bahrain,RUS,4.0,SOFT,7.0,23.652866242038222,97.738
Bahrain,RUS,5.0,SOFT,8.0,23.652866242038222,98.116
Bahrain,RUS,6.0,SOFT,9.0,23.652866242038222,97.784
Bahrain,RUS,7.0,SOFT,10.0,23.652866242038222,98.082
Bahrain,RUS,8.0,SOFT,11.0,23.652866242038222,97.862
Bahrain,RUS,9.0,SOFT,12.0,23.652866242038222,97.73
Bahrain,RUS,11.0,SOFT,14.0,23.652866242038222,100.515
Bahrain,RUS,12.0,HARD,1.0,23.652866242038222,118.46
Bahrain,RUS,13.0,HARD,2.0,23.652866242038222,97.167
Bahrain,RUS,14.0,HARD,3.0,23.652866242038222,97.571
Bahrain,RUS,15.0,HARD,4.0,23.652866242038222,96.922
Bahrain,RUS,16.0,HARD,5.0,23.652866242038222,96.683
Bahrain,RUS,17.0,HARD,6.0,23.652866242038222,96.234
Bahrain,RUS,18.0,HARD,7.0,23.652866242038222,97.819
Bahrain,RUS,19.0,HARD,8.0,23.652866242038222,97.233
Bahrain,RUS,20.0,HARD,9.0,23.652866242038222,96.732
